FinYear,State_sel,State_code,District_sel,District_code,Block_sel,Block_code,Panchayat_sel,Panchayat_code,Village_sel,Village_code,sr_no,habitation,SC,ST,GEN,TOTAL
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Allikori,303151,Khanapur,599456,1,Allikori,0,109,0,109
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Allikori,303151,Khanapur,599456,2,Pothamloddi,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Anakpur,599411,1,Ankapur,0,332,18,350
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Anakpur,599411,2,Kolamguda,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,1,Chinna Pendurloddi,0,62,0,62
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,2,Dondarguda,0,68,0,68
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,3,Gundamloddi,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,4,Laxmanguda,0,47,0,47
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,5,Pendurloddi,0,168,17,185
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Ankoli,20031,1,Ankoli,153,646,997,1796
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Ankoli,20031,2,Kolamgud,0,0,386,386
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Ankoli,20031,3,Sirikonda,0,73,72,145
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Kottur,20033,1,Kottur,9,230,37,276
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Arli(B),16000,Arli-b,599390,1,Arli-b,73,90,678,841
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,1,Asoda Burki,0,159,4,163
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,2,Bopppur,0,140,5,145
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,3,Burki,0,60,4,64
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,4,Maruthiguda,0,53,0,53
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,5,Poonaguda,0,224,5,229
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Bheemseri,16001,Bheemsari,20017,1,Bheemsari,357,0,1990,2347
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Burnoor,303267,Burnur,607754,1,Burnoor,0,127,234,361
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chanda,255358,Chanda,607324,1,Chanda,339,0,2531,2870
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Chisdhari,599458,1,Chisdhari,187,292,0,479
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Chisdhari,599458,2,Rajuguda,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Khanapur,599456,1,Harijanwada,0,135,0,135
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Khanapur,599456,2,Lambadi Tanda,0,146,0,146
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Khanapur,599456,3,Sevadasnagar,0,75,0,75
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,1,Chinchughat,0,364,10,374
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,2,Chinna Chinchughat,0,100,0,100
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,3,Jandaguda,0,68,0,68
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,4,Khandanguda,42,0,0,42
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,5,New Chinchughat,0,99,0,99
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chityalbori,303272,Kachikanti,20028,1,Chityalbori,187,381,2,570
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Dimma,303274,DIMMA,698762,1,Dimma,170,0,83,253
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Hathigutta,303275,Hathiguda,599453,1,Hathiguda,0,138,0,138
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Hathigutta,303275,Khanapur,599456,1,Rajulguda,0,64,0,64
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamdapur,255220,Jamdapur,607157,1,Jamdapur,393,0,902,1295
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamuldhari,303276,Jamuldhari,20037,1,Jamuldhari,5,204,29,238
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamuldhari,303276,Ramai,20024,1,Addagutta,0,83,83,166
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamuldhari,303276,Ramai,20024,2,Kolamguda,0,104,6,110
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kachkanti,16009,Kachikanti,20028,1,Kachikanti,0,492,14,506
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khanapur-Ch,240405,Khanapur,599456,1,Khanapur,1,180,0,181
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khanapur-Ch,240405,Khanapur,599456,2,Kolamguda,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,1,Darloddi,0,150,0,150
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,2,Khandala,0,384,6,390
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,3,Lambaditanda,0,261,0,261
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,4,Molalgutta,0,109,0,109
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,5,Molalgutta2,0,109,0,109
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,6,Pothaguda,0,104,9,113
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,7,Pothaguda2,0,104,9,113
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,8,Rajuguda,0,52,0,52
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kumbhajheri,16007,Kumbhajhari,20026,1,Kumbhajhari,104,102,189,395
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kumbhajheri,16007,Kumbhajhari,20026,2,Shivaghat,0,133,21,154
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kumbhajheri,16007,Takli,599402,1,Takli,0,32,0,32
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Landasangvi,15999,Landasangivi,20014,1,Landasangivi,142,109,1379,1630
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Linguguda,303277,Pippaldhari,20035,1,Dharloddi,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Linguguda,303277,Pippaldhari,20035,2,Linguguda,0,260,0,260
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,1,Chilatiguda,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,2,Harijanguda,104,0,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,3,Jandguda,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,4,Lohara,212,0,0,212
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,5,Salaiguda,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,6,Shivaguda,7,71,0,78
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lokari,16017,Lokari,20041,1,Chinna Lokari,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lokari,16017,Lokari,20041,2,Lokari,51,414,398,863
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Mamidiguda,303279,Wanwat,599430,1,Chinna Salfalguda,0,78,0,78
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Mamidiguda,303279,Wanwat,599430,2,Mamidiguda,0,676,0,676
