source_file,year,state_code,state_name,ac_number,ac_name,ac_reservation,pc_number,pc_name,part_number,polling_station_number_and_name,polling_station_address,polling_station_type,auxiliary_polling_stations,serial_start,serial_end,male,female,third_gender,total,district,main_town_or_village,post_office,police_station,tehsil,subdivision,pin_code
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p100_eed57eb3\139_p100_eed57eb3.json,2024,,,139,NANDYAL,,17,NANDYAL,,,,GENERAL,,,,312,460,0,772,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p101_a5c54aba\139_p101_a5c54aba.json,2024,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p102_e22a9230\139_p102_e22a9230.json,,,,139,NANDYAL,GEN,17,NANDYAL,102,102 - NANDYAL,"Town Planning Section Municipal Office Nandyal, Nandyal",,0,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p103_b694eb79\139_p103_b694eb79.json,2024,S01,Andhra Pradesh,139,NANDYAL,,17,NANDYAL,103,,MEPMA Building Municipal Office Nandyal,,0,,,486,410,0,896,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p104_94a00e76\139_p104_94a00e76.json,,,,139,NANDYAL,,17,,104,104 - NANDYALA,Meeting Hall Beside MEPMA Building Municipal Office Nandyal,,0,,,576,617,0,1193,NANDYAL,NANDYAL,NANDYAL,2 TOWN POLICE STATION NANDYAL,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p105_b6c1c2ef\139_p105_b6c1c2ef.json,,,,139,NANDYAL,,17,NANDYAL,105,,"St.Jospeh Primary School, South Wing, UKG A Section, Nandyal NANDYAL",,0,,,488,483,0,971,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p106_14b43c95\139_p106_14b43c95.json,,,,139,NANDYAL,,17,NANDYAL,106,,,,0,,,371,351,0,722,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p107_68fca97f\139_p107_68fca97f.json,,,,139,NANDYAL,,17,NANDYAL,107,,,,,,,366,394,0,760,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p108_c7f07dc7\139_p108_c7f07dc7.json,,,,139,NANDYAL,,17,NANDYAL,108,,"S P G MODAL P SCOOL, NANDYAL",GENERAL,,,,634,784,0,1418,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p109_84966e21\139_p109_84966e21.json,,,,139,NANDYAL,,17,NANDYAL,109,,,,,,,665,756,0,1421,,,,,,,
